date,hour,region,day_index
2024-01-01,0,2,0
2024-01-01,1,3,0
2024-01-01,2,3,0
2024-01-01,3,3,0
2024-01-01,4,3,0
2024-01-01,5,3,0
2024-01-01,6,3,0
2024-01-01,7,3,0
2024-01-01,8,3,0
2024-01-01,9,1,0
2024-01-01,10,1,0
2024-01-01,11,1,0
2024-01-01,12,1,0
2024-01-01,13,1,0
2024-01-01,14,1,0
2024-01-01,15,1,0
2024-01-01,16,1,0
2024-01-01,17,1,0
2024-01-01,18,1,0
2024-01-01,19,1,0
2024-01-01,20,2,0
2024-01-01,21,2,0
2024-01-01,22,2,0
2024-01-01,23,2,0
2024-01-02,0,2,1
2024-01-02,1,3,1
2024-01-02,2,3,1
2024-01-02,3,3,1
2024-01-02,4,3,1
2024-01-02,5,3,1
2024-01-02,6,3,1
2024-01-02,7,3,1
2024-01-02,8,3,1
2024-01-02,9,1,1
2024-01-02,10,1,1
2024-01-02,11,1,1
2024-01-02,12,1,1
2024-01-02,13,1,1
2024-01-02,14,1,1
2024-01-02,15,1,1
2024-01-02,16,1,1
2024-01-02,17,1,1
2024-01-02,18,1,1
2024-01-02,19,1,1
2024-01-02,20,2,1
2024-01-02,21,2,1
2024-01-02,22,2,1
2024-01-02,23,2,1
2024-01-03,0,2,2
2024-01-03,1,3,2
2024-01-03,2,3,2
2024-01-03,3,3,2
2024-01-03,4,3,2
2024-01-03,5,3,2
2024-01-03,6,3,2
2024-01-03,7,3,2
2024-01-03,8,3,2
2024-01-03,9,1,2
2024-01-03,10,1,2
2024-01-03,11,1,2
2024-01-03,12,1,2
2024-01-03,13,1,2
2024-01-03,14,1,2
2024-01-03,15,1,2
2024-01-03,16,1,2
2024-01-03,17,1,2
2024-01-03,18,1,2
2024-01-03,19,1,2
2024-01-03,20,2,2
2024-01-03,21,2,2
2024-01-03,22,2,2
2024-01-03,23,2,2
2024-01-04,0,2,3
2024-01-04,1,3,3
2024-01-04,2,3,3
2024-01-04,3,3,3
2024-01-04,4,3,3
2024-01-04,5,3,3
2024-01-04,6,3,3
2024-01-04,7,3,3
2024-01-04,8,3,3
2024-01-04,9,1,3
2024-01-04,10,1,3
2024-01-04,11,1,3
2024-01-04,12,1,3
2024-01-04,13,1,3
2024-01-04,14,1,3
2024-01-04,15,1,3
2024-01-04,16,1,3
2024-01-04,17,1,3
2024-01-04,18,1,3
2024-01-04,19,1,3
2024-01-04,20,2,3
2024-01-04,21,2,3
2024-01-04,22,2,3
2024-01-04,23,2,3
2024-01-05,0,2,4
2024-01-05,1,3,4
2024-01-05,2,3,4
2024-01-05,3,3,4
2024-01-05,4,3,4
